year,state_po,county
2016,IN,Lake
2016,IN,LaPorte
2016,IN,Lawrence
2016,IN,Madison
2016,IN,Marion
2016,IN,Marshall
2016,IN,Martin
2016,IN,Miami
2016,IN,Monroe
2016,IN,Montgomery
2016,IN,Morgan
2016,IN,Newton
2016,IN,Noble
2016,IN,Ohio
2016,IN,Orange
2016,IN,Owen
2016,IN,Parke
2016,IN,Perry
2016,IN,Pike
2016,IN,Porter
2016,IN,Posey
2016,IN,Pulaski
2016,IN,Putnam
2016,IN,Randolph
2016,IN,Ripley
2016,IN,Rush
2016,IN,St. Joseph
2016,IN,Scott
2016,IN,Shelby
2016,IN,Spencer
2016,IN,Starke
2016,IN,Steuben
2016,IN,Sullivan
2016,IN,Switzerland
2016,IN,Tippecanoe
2016,IN,Tipton
2016,IN,Union
2016,IN,Vanderburgh
2016,IN,Vermillion
2016,IN,Vigo
2016,IN,Wabash
2016,IN,Warren
2016,IN,Warrick
2016,IN,Washington
2016,IN,Wayne
2016,IN,Wells
2016,IN,White
2016,IN,Whitley
2016,IA,Adair
2016,IA,Adams
2016,IA,Allamakee
2016,IA,Appanoose
2016,IA,Audubon
2016,IA,Benton
2016,IA,Black Hawk
2016,IA,Boone
2016,IA,Bremer
2016,IA,Buchanan
2016,IA,Buena Vista
2016,IA,Butler
2016,IA,Calhoun
2016,IA,Carroll
2016,IA,Cass
2016,IA,Cedar
2016,IA,Cerro Gordo
2016,IA,Cherokee
2016,IA,Chickasaw
2016,IA,Clarke
2016,IA,Clay
2016,IA,Clayton
2016,IA,Clinton
2016,IA,Crawford
2016,IA,Dallas
2016,IA,Davis
2016,IA,Decatur
2016,IA,Delaware
2016,IA,Des Moines
2016,IA,Dickinson
2016,IA,Dubuque
2016,IA,Emmet
2016,IA,Fayette
2016,IA,Floyd
2016,IA,Franklin
2016,IA,Fremont
2016,IA,Greene
2016,IA,Grundy
2016,IA,Guthrie
2016,IA,Hamilton
2016,IA,Hancock
2016,IA,Hardin
2016,IA,Harrison
2016,IA,Henry
2016,IA,Howard
2016,IA,Humboldt
2016,IA,Ida
2016,IA,Iowa
2016,IA,Jackson
2016,IA,Jasper
2016,IA,Jefferson
2016,IA,Johnson
2016,IA,Jones
2016,IA,Keokuk
2016,IA,Kossuth
2016,IA,Lee
2016,IA,Linn
2016,IA,Louisa
2016,IA,Lucas
2016,IA,Lyon
2016,IA,Madison
2016,IA,Mahaska
2016,IA,Marion
2016,IA,Marshall
2016,IA,Mills
2016,IA,Mitchell
2016,IA,Monona
2016,IA,Monroe
2016,IA,Montgomery
2016,IA,Muscatine
2016,IA,O'Brien
2016,IA,Osceola
2016,IA,Page
2016,IA,Palo Alto
2016,IA,Plymouth
2016,IA,Pocahontas
2016,IA,Polk
2016,IA,Pottawattamie
2016,IA,Poweshiek
2016,IA,Ringgold
2016,IA,Sac
2016,IA,Scott
2016,IA,Shelby
2016,IA,Sioux
2016,IA,Story
2016,IA,Tama
2016,IA,Taylor
2016,IA,Union
2016,IA,Van Buren
2016,IA,Wapello
2016,IA,Warren
2016,IA,Washington
2016,IA,Wayne
2016,IA,Webster
2016,IA,Winnebago
2016,IA,Winneshiek
2016,IA,Woodbury
2016,IA,Worth
2016,IA,Wright
2016,KS,Allen
2016,KS,Anderson
2016,KS,Atchison
2016,KS,Barber
2016,KS,Barton
2016,KS,Bourbon
2016,KS,Brown
2016,KS,Butler
2016,KS,Chase
2016,KS,Chautauqua
2016,KS,Cherokee
2016,KS,Cheyenne
2016,KS,Clark
2016,KS,Clay
2016,KS,Cloud
2016,KS,Coffey
2016,KS,Comanche
2016,KS,Cowley
2016,KS,Crawford
2016,KS,Decatur
2016,KS,Dickinson
2016,KS,Doniphan
2016,KS,Douglas
2016,KS,Edwards
2016,KS,Elk
2016,KS,Ellis
2016,KS,Ellsworth
2016,KS,Finney
2016,KS,Ford
2016,KS,Franklin
2016,KS,Geary
2016,KS,Gove
2016,KS,Graham
2016,KS,Grant
2016,KS,Gray
2016,KS,Greeley
2016,KS,Greenwood
2016,KS,Hamilton
2016,KS,Harper
2016,KS,Harvey
2016,KS,Haskell
2016,KS,Hodgeman
2016,KS,Jackson
2016,KS,Jefferson
2016,KS,Jewell
2016,KS,Johnson
2016,KS,Kearny
2016,KS,Kingman
2016,KS,Kiowa
2016,KS,Labette
2016,KS,Lane
2016,KS,Leavenworth
2016,KS,Lincoln
2016,KS,Linn
2016,KS,Logan
2016,KS,Lyon
2016,KS,McPherson
2016,KS,Marion
2016,KS,Marshall
2016,KS,Meade
2016,KS,Miami
2016,KS,Mitchell
2016,KS,Montgomery
2016,KS,Morris
2016,KS,Morton
2016,KS,Nemaha
2016,KS,Neosho
2016,KS,Ness
2016,KS,Norton
